Reaction ID,Solvent,Amine,"Best Kin, Mols/L","Best Kout, Mols/L",Best Fit SSE,Crystallization Data?,"Crystallization Time, Seconds","Crystallization Height, cm","Antisolvent Concentration, Mols/L","In-Organic and Organic Concentration, Mols/L"
MA 357 2,DMF,NNDimethylethane12diammoniumiodide,7.58E-07,7.44E-07,0.001389657,Yes,20044,0.93624,7.3629,0.82748
MA 380 7,DMSO,NNDimethylethane12diammoniumiodide,3.69E-07,3.60E-07,0.001104991,Yes,40083,0.095164,4.3642,0.80532
MA 357 4,DMF:DMSO,NNDimethylethane12diammoniumiodide,1.58E-06,1.60E-06,0.0023047,Yes,63911,1.1093,13.0125,0.73462
MA 357 5,GBL:DMF,NNDimethylethane12diammoniumiodide,1.07E-06,1.03E-06,0.000497053,Yes,11882,0.83412,11.4459,0.96823
MA 359 1,GBL,NNDiethylpropane13diammoniumiodide,6.04E-07,5.79E-07,0.000428319,Yes,13744,0.86254,6.6665,0.92795
MA 359 2,DMF,NNDiethylpropane13diammoniumiodide,3.03E-07,2.90E-07,0.001411662,None,NA,NA,NA,NA
MA 359 3,DMSO,NNDiethylpropane13diammoniumiodide,8.10E-07,8.61E-07,0.000963469,None,NA,NA,NA,NA
MA 359 4,DMF:DMSO,NNDiethylpropane13diammoniumiodide,5.02E-07,4.81E-07,0.002022628,None,NA,NA,NA,NA
MA 359 5,GBL:DMF,NNDiethylpropane13diammoniumiodide,3.56E-07,3.30E-07,0.002543707,None,NA,NA,NA,NA
MA 358 2,DMF,Benzenediaminedihydroiodide,8.55E-07,8.90E-07,0.000800107,Yes,34260,1.0573,7.5573,0.78496
MA 334 3,DMSO,Benzenediaminedihydroiodide,5.09E-07,5.24E-07,0.002460402,None,NA,NA,NA,NA
MA 358 4,DMF:DMSO,Benzenediaminedihydroiodide,1.15E-06,1.13E-06,0.00162536,Yes,45720,1.1991,15.5701,0.73769
MA 358 5,GBL:DMF,Benzenediaminedihydroiodide,1.17E-06,1.15E-06,0.002230353,Yes,240,0.647958437,2.012292502,1.217866335
