Reaction ID,Solvent,Amine,"Best Kin, Mols/sec","Best Kout, Mols/sec",Best Fit SSE,Crystallization Data?,"Crystallization Time, Seconds","Crystallization Height, cm","Antisolvent Concentration, Mols/L","Solvent Concentration, Mols/L","FAH Concentration, Mols/L","Inorganic Concentration, Mols/L","Organic Concentration, Mols/L",Molecule Type
MZ 342 1,GBL:DMF,PhEtNH3I,6.90E-07,7.10E-07,0.002650491,None,,,,,,,,6-membered-ring
MA 356 2,DMF,Propane13diammoniumIodide,2.71E-07,3.60E-07,0.000852633,None,,,,,,,,chain
MA 396 1,DMSO,Propane13diammoniumIodide,2.04E-07,3.53E-07,0.000732702,None,,,,,,,,chain
MA 356 4,DMF:DMSO,Propane13diammoniumIodide,3.43E-07,3.67E-07,0.00150825,None,,,,,,,,chain
MA 356 5,GBL:DMF,Propane13diammoniumIodide,3.37E-07,2.96E-07,0.000568389,Yes,16743,0.73482,12.0996,6.806,1.5428,0.35368,0.54092,chain
MA 357 2,DMF,NNDimethylethane12diammoniumiodide,2.80E-07,3.43E-07,0.001535224,Yes,20044,0.8843,8.1484,6.1124,1.3879,0.30841,0.44411,branch
MA 380 7,DMSO,NNDimethylethane12diammoniumiodide,1.02E-07,1.26E-07,0.00174045,Yes,24063,0.73002,5.9104,7.7961,1.6307,0.36924,0.51405,branch
MA 397 1,DMF:DMSO,NNDimethylethane12diammoniumiodide,2.95E-07,2.78E-07,0.00450136,Yes,45300,0.99476,12.6246,5.2601,1.1438,0.25417,0.366,branch
MA 357 5,GBL:DMF,NNDimethylethane12diammoniumiodide,3.24E-07,2.88E-07,0.00052982,Yes,7741,0.65413,10.7297,8.0582,1.8267,0.42368,0.59478,branch
MA 338 2,GBL,NNDiethylpropane13diammoniumiodide,1.77E-07,2.19E-07,0.001206893,Yes,2700,0.52893,2.6571,9.2776,2.1001,0.49288,0.74918,branch
MZ 341 1,DMF,NNDiethylpropane13diammoniumiodide,2.91E-07,4.12E-07,0.000956404,None,,,,,,,,branch
MA 338 4,DMSO,NNDiethylpropane13diammoniumiodide,2.00E-07,2.87E-07,0.000349223,None,,,,,,,,branch
MZ 341 2,DMF:DMSO,NNDiethylpropane13diammoniumiodide,5.78E-07,5.97E-07,0.002706097,None,,,,,,,,branch
MZ 341 3,GBL:DMF,NNDiethylpropane13diammoniumiodide,5.41E-07,5.41E-07,0.001420163,Yes,23149,0.87381,15.6932,6.287,1.4252,0.3406,0.50088,branch
MA 358 2,DMF,Benzenediaminedihydroiodide,2.33E-07,3.63E-07,0.000245673,Yes,34080,0.98091,7.7944,6.0089,1.3644,0.30892,0.43612,6-membered-ring
MA 334 3,DMSO,Benzenediaminedihydroiodide,1.85E-07,2.90E-07,0.000655438,None,,,,,,,,6-membered-ring
MA 358 4,DMF:DMSO,Benzenediaminedihydroiodide,2.98E-07,2.76E-07,0.000862785,Yes,41820,1.0655,16.1726,5.702,1.2399,0.28754,0.40919,6-membered-ring
MA 358 5,GBL:DMF,Benzenediaminedihydroiodide,3.08E-07,2.84E-07,0.000845894,Yes,1380,0.5382,3.8196,9.9612,2.2581,0.50354,0.75532,6-membered-ring
